LOJA;DATA;COMPLEMENTO;SKU;QTDEMOVIMENTADA;VALOR
203;05/05/2025;1288777;999999992501843;-1;"159,99"
203;05/05/2025;1288792;999999992049405;1;"99,99"
203;05/05/2025;1288792;999999992290818;2;"79,99"
203;05/05/2025;1288792;999999992296657;1;"29,99"
203;05/05/2025;1288792;999999992304295;1;"149,99"
203;05/05/2025;1288792;999999992307379;1;39
203;05/05/2025;1288792;999999992307385;1;39
203;05/05/2025;1288792;999999992370920;1;"99,99"
203;05/05/2025;1288792;999999992463174;1;"129,99"
203;05/05/2025;1288792;999999992463193;-1;"129,99"
203;05/05/2025;1288792;999999992483475;1;"49,99"
203;05/05/2025;1288792;999999992496103;-1;"129,99"
203;05/05/2025;1288792;999999992497651;-1;"169,99"
203;05/05/2025;1288792;999999992528103;1;"79,99"
203;05/05/2025;1288792;999999992546016;1;"99,99"
203;05/05/2025;1288792;999999992547359;1;"129,99"
203;05/05/2025;1288792;999999992547378;1;"129,99"
203;05/05/2025;1288792;999999992569072;1;"79,99"
203;05/05/2025;1288792;999999992571148;1;"149,99"
203;05/05/2025;1288803;999999992116834;1;"29,99"
203;05/05/2025;1288803;999999992284553;1;"119,99"
203;05/05/2025;1288803;999999992297395;1;"69,99"
203;05/05/2025;1288803;999999992342408;1;"49,99"
203;05/05/2025;1288803;999999992444708;1;"79,99"
203;05/05/2025;1288803;999999992444715;1;"79,99"
203;05/05/2025;1288803;999999992444899;1;"69,99"
203;05/05/2025;1288803;999999992444924;2;"69,99"
203;05/05/2025;1288803;999999992495893;1;"229,99"
203;05/05/2025;1288803;999999992501469;2;"79,99"
203;05/05/2025;1288803;999999992501470;2;"79,99"
203;05/05/2025;1288803;999999992501471;3;"79,99"
203;05/05/2025;1288803;999999992501472;3;"79,99"
203;05/05/2025;1288803;999999992501473;1;"79,99"
203;05/05/2025;1288803;999999992501474;2;"79,99"
203;05/05/2025;1288803;999999992501491;1;"79,99"
203;05/05/2025;1288803;999999992501499;1;"79,99"
203;05/05/2025;1288803;999999992528867;1;"99,99"
203;05/05/2025;1288803;999999992536335;-3;"79,99"
203;05/05/2025;1288803;999999992536339;-3;"79,99"
203;05/05/2025;1288803;999999992536341;-1;"79,99"
203;05/05/2025;1288803;999999992536343;-3;"79,99"
203;05/05/2025;1288803;999999992542335;1;"149,99"
203;05/05/2025;1288805;999999992350099;1;"249,99"
203;05/05/2025;1288805;999999992350119;1;"179,99"
345;05/05/2025;1290123;999999992580448;1;"899,99"
203;05/05/2025;1288773;999999992261041;1;"119,99"
203;05/05/2025;1288773;999999992273209;-1;"19,99"
203;05/05/2025;1288773;999999992273353;-1;"19,99"
203;05/05/2025;1288773;999999992273453;1;"79,99"
203;05/05/2025;1288773;999999992274123;-1;"199,99"
203;05/05/2025;1288773;999999992274520;1;"99,99"
203;05/05/2025;1288773;999999992274521;1;"99,99"
203;05/05/2025;1288773;999999992274563;1;"79,99"
203;05/05/2025;1288773;999999992274568;1;"79,99"
203;05/05/2025;1288773;999999992274599;-1;"79,99"
203;05/05/2025;1288773;999999992274839;-1;"119,99"
203;05/05/2025;1288773;999999992280182;1;"139,99"
203;05/05/2025;1288773;999999992280183;-1;"99,99"
203;05/05/2025;1288773;999999992280193;1;"49,99"
203;05/05/2025;1288773;999999992289715;1;"119,99"
203;05/05/2025;1288773;999999992289739;1;"19,99"
203;05/05/2025;1288773;999999992289740;1;"19,99"
203;05/05/2025;1288773;999999992289742;1;"19,99"
203;05/05/2025;1288773;999999992289743;1;"19,99"
203;05/05/2025;1288773;999999992289762;-1;"19,99"
203;05/05/2025;1288773;999999992289763;-1;"19,99"
203;05/05/2025;1288773;999999992289767;-1;"19,99"
203;05/05/2025;1288773;999999992290156;1;"119,99"
203;05/05/2025;1288773;999999992290528;1;"49,99"
203;05/05/2025;1288773;999999992294536;1;"39,99"
203;05/05/2025;1288773;999999992294751;1;"79,99"
203;05/05/2025;1288773;999999992295792;1;"89,99"
203;05/05/2025;1288773;999999992296003;1;"99,99"
203;05/05/2025;1288773;999999992300730;-1;"69,99"
203;05/05/2025;1288773;999999992300738;2;"129,99"
203;05/05/2025;1288773;999999992300778;-1;"159,99"
203;05/05/2025;1288773;999999992301171;1;"59,99"
203;05/05/2025;1288773;999999992301748;1;"79,99"
203;05/05/2025;1288773;999999992301778;1;"59,99"
203;05/05/2025;1288773;999999992301779;1;"59,99"
203;05/05/2025;1288773;999999992303864;1;"99,99"
203;05/05/2025;1288773;999999992303866;1;"99,99"
203;05/05/2025;1288773;999999992304358;1;"69,99"
203;05/05/2025;1288773;999999992304910;1;"39,99"
203;05/05/2025;1288773;999999992304926;-1;"39,99"
203;05/05/2025;1288773;999999992305238;1;"99,99"
203;05/05/2025;1288773;999999992305643;1;"99,99"
203;05/05/2025;1288773;999999992305651;-1;"99,99"
203;05/05/2025;1288773;999999992305673;1;"89,99"
203;05/05/2025;1288773;999999992308675;1;"49,99"
203;05/05/2025;1288773;999999992309890;-1;"49,99"
203;05/05/2025;1288773;999999992310068;1;"89,99"
203;05/05/2025;1288773;999999992313036;1;"99,99"
203;05/05/2025;1288773;999999992318880;1;"89,99"
203;05/05/2025;1288773;999999992318888;1;"79,99"
203;05/05/2025;1288773;999999992321349;1;"69,99"
203;05/05/2025;1288773;999999992321385;-1;"19,99"
203;05/05/2025;1288773;999999992321405;1;"19,99"
203;05/05/2025;1288773;999999992321441;1;"59,99"
203;05/05/2025;1288773;999999992474103;-1;"119,99"
203;05/05/2025;1288773;999999992474111;1;"119,99"
203;05/05/2025;1288773;999999992485080;1;"129,99"
203;05/05/2025;1288773;999999992499228;-1;"189,99"
203;05/05/2025;1288773;999999992499329;1;"79,99"
203;05/05/2025;1288773;999999992499532;1;"129,99"
203;05/05/2025;1288773;999999992508850;1;"119,99"
203;05/05/2025;1288773;999999992508858;-1;"99,99"
203;05/05/2025;1288773;999999992510207;1;"99,99"
600;01/05/2025;1287460;999999992598078;1;"269,99"
600;01/05/2025;1287460;999999992598028;1;"239,99"
600;01/05/2025;1287460;999999992598046;1;"199,99"
600;01/05/2025;1287460;999999992598038;1;"199,99"
600;01/05/2025;1287460;999999992598112;1;"199,99"
600;01/05/2025;1287460;999999992598114;1;"199,99"
600;01/05/2025;1287460;999999992597822;1;"189,99"
600;01/05/2025;1287460;999999992598796;1;"169,99"
600;01/05/2025;1287460;999999992598786;1;"159,99"
600;01/05/2025;1287460;999999992597784;1;"179,99"
600;01/05/2025;1287460;999999992579355;1;"249,99"
600;01/05/2025;1287460;999999992597782;1;"179,99"
600;01/05/2025;1287460;999999992598904;1;"189,99"
600;01/05/2025;1287460;999999992596856;1;"239,99"
600;01/05/2025;1287460;999999992598958;1;"199,99"
600;01/05/2025;1287460;999999992590777;1;"199,99"
600;01/05/2025;1287460;999999992590829;1;"229,99"
600;01/05/2025;1287460;999999992590830;1;"229,99"
600;01/05/2025;1287460;999999992598985;1;"199,99"
600;01/05/2025;1287460;999999992584257;1;"249,99"
600;01/05/2025;1287460;999999992578193;1;"369,99"
600;01/05/2025;1287460;999999992604439;1;"239,99"
600;01/05/2025;1287460;999999992604537;1;"269,99"
600;01/05/2025;1287460;999999992604538;1;"269,99"
600;01/05/2025;1287460;999999992604576;1;"299,99"
600;01/05/2025;1287460;999999992590264;1;"249,99"
600;01/05/2025;1287460;999999992604546;1;"269,99"
600;01/05/2025;1287460;999999992604548;1;"269,99"
600;01/05/2025;1287460;999999992604568;1;"269,99"
600;01/05/2025;1287460;999999992604573;1;"299,99"
600;01/05/2025;1287460;999999992604561;2;"269,99"
600;01/05/2025;1287460;999999992604563;1;"269,99"
600;01/05/2025;1287460;999999992604566;2;"269,99"
600;01/05/2025;1287460;999999992590330;1;"259,99"
600;01/05/2025;1287460;999999992561623;1;"199,99"
600;01/05/2025;1287460;999999992561624;4;"199,99"
600;01/05/2025;1287460;999999992561625;1;"199,99"
600;01/05/2025;1287460;999999992561626;1;"199,99"
600;01/05/2025;1287460;999999992579354;2;"249,99"
600;01/05/2025;1287460;999999992590779;2;"199,99"
600;01/05/2025;1287460;999999992590780;3;"199,99"
600;01/05/2025;1287460;999999992590781;4;"199,99"
600;01/05/2025;1287460;999999992590782;6;"199,99"
600;01/05/2025;1288830;999999992605011;1;"499,99"
600;01/05/2025;1288830;999999992605012;1;"499,99"
338;07/05/2025;1290563;999999992648728;1;"149,99"
600;01/05/2025;1288830;999999992605013;2;"499,99"
600;01/05/2025;1288830;999999992605014;1;"499,99"
600;01/05/2025;1288830;999999992605122;1;"499,99"
600;01/05/2025;1288830;999999992564942;1;"899,99"
600;01/05/2025;1288830;999999992568369;1;"599,99"
600;01/05/2025;1288830;999999992568345;1;"699,99"
600;01/05/2025;1288830;999999992613397;1;"399,99"
600;01/05/2025;1288830;999999992568417;1;"599,99"
600;01/05/2025;1288830;999999992568415;1;"599,99"
600;01/05/2025;1288830;999999992574632;2;"249,99"
600;01/05/2025;1288830;999999992574628;1;"249,99"
600;01/05/2025;1288830;999999992574596;1;"229,99"
600;01/05/2025;1288830;999999992574598;1;"229,99"
600;01/05/2025;1288830;999999992541918;1;"199,99"
600;01/05/2025;1288830;999999992564912;1;"899,99"
600;01/05/2025;1288830;999999992564913;1;"899,99"
600;01/05/2025;1288830;999999992564941;1;"899,99"
600;01/05/2025;1288830;999999992574526;1;"499,99"
600;01/05/2025;1288830;999999992574594;1;"229,99"
600;01/05/2025;1288830;999999992603391;2;"1199,99"
600;01/05/2025;1288830;999999992603392;1;"1199,99"
600;01/05/2025;1288830;999999992605063;1;"549,99"
600;01/05/2025;1288830;999999992613433;1;"349,99"
600;01/05/2025;1287448;999999992603750;1;"339,99"
600;01/05/2025;1287448;999999992548466;2;"219,99"
600;01/05/2025;1287448;999999992549543;1;"299,99"
600;01/05/2025;1287448;999999992561079;1;"289,99"
600;01/05/2025;1287448;999999992555655;1;"299,99"
600;01/05/2025;1287448;999999992572485;1;"279,99"
439;08/05/2025;1291586;999999992621948;1;"79,99"
439;08/05/2025;1291586;999999991968460;3;"179,99"
209;08/05/2025;1291863;999999992653819;1;"199,99"
217;09/05/2025;1292156;999999992339756;1;"449,99"
217;09/05/2025;1292156;999999992659400;1;"399,99"
439;08/05/2025;1291506;999999992453857;1;"29,99"
439;08/05/2025;1291506;999999992496468;1;"49,99"
439;08/05/2025;1291506;999999992605295;1;"54,99"
074;06/05/2025;1290349;999999992643628;1;
074;06/05/2025;1290349;999999992643640;2;"299,99"
074;06/05/2025;1290349;999999992643641;2;
074;06/05/2025;1290349;999999992643642;2;
074;06/05/2025;1290349;999999992643643;1;
074;06/05/2025;1290349;999999992643654;1;
074;06/05/2025;1290349;999999992643655;1;
074;06/05/2025;1290349;999999992643656;1;
074;06/05/2025;1290349;999999992643657;1;
074;06/05/2025;1290349;999999992643664;2;
074;06/05/2025;1290349;999999992643665;3;
074;06/05/2025;1290349;999999992643666;2;
074;06/05/2025;1290349;999999992643667;2;
074;06/05/2025;1290349;999999992643668;1;
338;07/05/2025;1290568;999999992651750;1;"119,99"
338;07/05/2025;1290568;999999992630425;1;"79,99"
338;07/05/2025;1290568;999999992593763;1;"79,99"
345;05/05/2025;1290185;999999992487200;1;"99,99"
062;08/05/2025;1291924;999999992637362;1;"319,99"
203;02/05/2025;1288787;999999992066032;1;"29,99"
203;02/05/2025;1288787;999999992184920;1;"5,99"
203;02/05/2025;1288787;999999992283042;1;"29,99"
203;02/05/2025;1288787;999999992283744;1;"9,99"
203;02/05/2025;1288787;999999992466143;1;"79,99"
203;02/05/2025;1288787;999999992466480;1;"39,99"
203;02/05/2025;1288787;999999992466949;1;"59,99"
203;02/05/2025;1288787;999999992487795;1;"59,99"
203;02/05/2025;1288787;999999992488338;1;"29,99"
203;02/05/2025;1288791;999999992252642;-1;"9,99"
203;02/05/2025;1288795;999999992317868;-1;"249,99"
203;02/05/2025;1288799;999999991948663;1;"99,99"
203;02/05/2025;1288799;999999992266759;-1;"49,99"
224;05/05/2025;1289680;999999992541925;1;"139,99"
224;05/05/2025;1289685;999999992647043;1;"164,99"
209;08/05/2025;1291853;999999992637252;1;"399,99"
209;08/05/2025;1291853;999999992597258;1;"369,99"
074;06/05/2025;1290712;999999990213613;1;"44,99"
074;06/05/2025;1290712;999999992033488;1;"74,99"
074;06/05/2025;1290712;999999992033624;1;"74,99"
439;08/05/2025;1291552;999999992627023;1;"79,99"
439;08/05/2025;1291552;999999992494175;1;"69,99"
439;08/05/2025;1291552;999999992318715;1;"49,99"
439;08/05/2025;1291552;999999992475068;1;"99,99"
439;08/05/2025;1291552;999999992494383;1;"19,99"
439;08/05/2025;1291552;999999992627923;1;"49,99"
439;08/05/2025;1291543;999999992561598;1;"159,99"
439;08/05/2025;1291543;999999992561600;1;"159,99"
439;08/05/2025;1291543;999999992528964;1;"69,99"
439;08/05/2025;1291543;999999992447231;1;"69,99"
203;05/05/2025;1288807;999999992070376;1;"189,99"
203;05/05/2025;1288807;999999992099045;1;"39,99"
203;05/05/2025;1288807;999999992302586;1;"99,99"
203;05/05/2025;1288807;999999992342277;1;"399,99"
203;05/05/2025;1288807;999999992351950;1;"189,99"
203;05/05/2025;1288807;999999992536656;1;"329,99"
203;05/05/2025;1288807;999999992547108;1;"199,99"
203;05/05/2025;1288807;999999992552718;1;"229,99"
203;05/05/2025;1288807;999999992554940;1;"249,99"
203;05/05/2025;1288807;999999992591685;1;"299,99"
072;08/05/2025;1292069;999999992009250;1;"199,99"
439;08/05/2025;1291543;999999992545771;1;"69,99"
439;08/05/2025;1291543;999999992611994;1;"69,99"
439;08/05/2025;1291543;999999992611997;1;"69,99"
439;08/05/2025;1291543;999999992648819;1;"199,99"
338;06/05/2025;1290581;999999991970454;1;"79,99"
338;07/05/2025;1290556;999999992371682;1;"169,99"
338;07/05/2025;1290556;999999992528347;1;"179,99"
338;07/05/2025;1290556;999999992621573;1;"429,99"
338;07/05/2025;1290556;999999992625465;2;"259,99"
212;06/05/2025;1290802;999999992262721;1;"199,99"
074;06/05/2025;1290418;999999992515883;1;"39,99"
338;07/05/2025;1290552;999999992527705;1;"119,99"
338;07/05/2025;1290552;999999992624283;1;"149,99"
338;07/05/2025;1290552;999999992533272;1;"129,99"
338;07/05/2025;1290552;999999992587179;1;"129,99"
600;01/05/2025;1287459;999999992601506;45;"119,99"
600;01/05/2025;1287459;999999992601507;45;"119,99"
600;01/05/2025;1287459;999999992601508;30;"119,99"
600;01/05/2025;1287459;999999992601509;15;"119,99"
600;01/05/2025;1287459;999999992601670;2;"69,99"
600;01/05/2025;1287459;999999992601671;4;"69,99"
600;01/05/2025;1287459;999999992601672;7;"69,99"
600;01/05/2025;1287459;999999992601673;6;"69,99"
600;01/05/2025;1287459;999999992601675;2;"69,99"
600;01/05/2025;1287459;999999992602013;2;"59,99"
600;01/05/2025;1287459;999999992602014;2;"59,99"
600;01/05/2025;1287459;999999992602022;2;"59,99"
600;01/05/2025;1287459;999999992602038;12;"59,99"
600;01/05/2025;1287459;999999992602040;4;"59,99"
600;01/05/2025;1287459;999999992602339;1;"99,99"
600;01/05/2025;1287459;999999992613649;2;"119,99"
600;01/05/2025;1287459;999999992613650;4;"119,99"
600;01/05/2025;1287459;999999992613651;6;"119,99"
600;01/05/2025;1287459;999999992613652;6;"119,99"
600;01/05/2025;1287459;999999992613653;4;"119,99"
600;01/05/2025;1287459;999999992613654;2;"119,99"
600;01/05/2025;1287459;999999992613657;2;"119,99"
600;01/05/2025;1287459;999999992613658;4;"119,99"
