LOJA;DATA;SKU;QTD_ANTIGA;QTDE_AJUSTE;TIPO_AJUSTE
034;16/04/2025;999999990779326;33;1;SA?DA DO ESTOQUE
062;25/04/2025;999999990779326;27;1;ENTRADA NO ESTOQUE
105;22/04/2025;999999990779326;40;1;SA?DA DO ESTOQUE
075;07/03/2025;999999990779326;35;13;ENTRADA NO ESTOQUE
058;13/02/2025;999999990779326;34;1;ENTRADA NO ESTOQUE
005;02/01/2025;999999992542750;0;1;AJUSTE CONTAGEM ENTRADA
124;05/06/2025;999999990779359;13;5;ENTRADA NO ESTOQUE
126;06/05/2025;999999990779359;35;2;ENTRADA NO ESTOQUE
111;06/05/2025;999999990779359;56;1;ENTRADA NO ESTOQUE
009;13/06/2025;999999990779359;37;5;ENTRADA NO ESTOQUE
065;22/05/2025;999999990779359;63;3;ENTRADA NO ESTOQUE
225;23/04/2025;999999990779359;43;1;AJUSTE CONTAGEM SAIDA
061;28/03/2025;999999990779359;84;2;ENTRADA NO ESTOQUE
064;10/04/2025;999999990779359;93;1;SA?DA DO ESTOQUE
227;20/03/2025;999999990779359;85;3;ENTRADA NO ESTOQUE
125;02/01/2025;999999992564690;-1;1;AJUSTE CONTAGEM ENTRADA
069;27/03/2025;999999990779359;-1;1;ENTRADA NO ESTOQUE
003;11/03/2025;999999990779359;45;1;ENTRADA NO ESTOQUE
028;18/02/2025;999999990779359;48;1;ENTRADA NO ESTOQUE
064;01/04/2025;999999990779359;92;1;ENTRADA NO ESTOQUE
020;14/01/2025;999999990779359;48;1;ENTRADA NO ESTOQUE
067;17/02/2025;999999990779359;48;1;ENTRADA NO ESTOQUE
054;11/02/2025;999999990779359;69;2;SA?DA DO ESTOQUE
117;07/02/2025;999999990779359;46;2;ENTRADA NO ESTOQUE
064;14/01/2025;999999990779359;50;1;AJUSTE CONTAGEM SAIDA
058;13/02/2025;999999990779359;41;1;SA?DA DO ESTOQUE
053;09/05/2025;999999990828336;10;10;AJUSTE CONTAGEM SAIDA
127;07/03/2025;999999990836093;0;1;ENTRADA NO ESTOQUE
049;10/01/2025;999999990836122;1;1;AJUSTE CONTAGEM SAIDA
024;02/01/2025;999999992569257;-1;1;AJUSTE CONTAGEM ENTRADA
065;09/04/2025;999999990836171;1;1;AJUSTE CONTAGEM SAIDA
007;11/01/2025;999999990836282;1;1;AJUSTE CONTAGEM SAIDA
031;02/01/2025;999999992572715;3;1;AJUSTE CONTAGEM ENTRADA
122;02/01/2025;999999992573035;0;1;AJUSTE CONTAGEM ENTRADA
026;13/03/2025;999999990836618;1;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992573841;0;1;AJUSTE CONTAGEM ENTRADA
006;12/04/2025;999999990836747;1;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992574034;1;1;AJUSTE CONTAGEM ENTRADA
016;28/01/2025;999999990836755;1;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992574049;0;1;AJUSTE CONTAGEM ENTRADA
120;16/04/2025;999999990837013;1;1;AJUSTE CONTAGEM SAIDA
032;03/02/2025;999999990837438;1;1;AJUSTE CONTAGEM SAIDA
343;02/01/2025;999999992574099;-1;1;AJUSTE CONTAGEM ENTRADA
006;19/06/2025;999999990837477;-1;1;ENTRADA NO ESTOQUE
006;17/04/2025;999999990837477;1;1;AJUSTE CONTAGEM SAIDA
007;11/01/2025;999999990837588;1;1;AJUSTE CONTAGEM SAIDA
109;10/03/2025;999999990837642;1;1;AJUSTE CONTAGEM SAIDA
058;02/01/2025;999999992574346;5;1;AJUSTE CONTAGEM ENTRADA
299;15/01/2025;999999990882084;1;1;SA?DA DO ESTOQUE
105;05/05/2025;999999990892703;35;1;ENTRADA NO ESTOQUE
105;11/06/2025;999999990892703;35;1;SA?DA DO ESTOQUE
124;05/06/2025;999999990892703;25;2;ENTRADA NO ESTOQUE
039;22/06/2025;999999990892703;14;2;ENTRADA NO ESTOQUE
028;18/02/2025;999999990892703;35;1;SA?DA DO ESTOQUE
009;06/03/2025;999999990892703;35;1;SA?DA DO ESTOQUE
023;11/03/2025;999999990892703;36;1;ENTRADA NO ESTOQUE
075;07/03/2025;999999990892703;36;1;ENTRADA NO ESTOQUE
117;07/02/2025;999999990892703;41;2;ENTRADA NO ESTOQUE
008;30/01/2025;999999990892703;49;1;ENTRADA NO ESTOQUE
299;02/06/2025;999999990900669;1;1;SA?DA DO ESTOQUE
065;22/05/2025;999999990906224;55;1;SA?DA DO ESTOQUE
124;05/06/2025;999999990906224;19;1;ENTRADA NO ESTOQUE
066;20/05/2025;999999990906224;43;1;ENTRADA NO ESTOQUE
058;02/01/2025;999999992574348;0;1;AJUSTE CONTAGEM ENTRADA
064;10/06/2025;999999990906224;24;1;ENTRADA NO ESTOQUE
008;23/05/2025;999999990906224;2;1;AJUSTE CONTAGEM SAIDA
006;18/06/2025;999999990906224;1;1;AJUSTE CONTAGEM SAIDA
009;13/06/2025;999999990906224;-1;1;ENTRADA NO ESTOQUE
064;02/04/2025;999999990906224;53;1;ENTRADA NO ESTOQUE
061;28/03/2025;999999990906224;34;1;SA?DA DO ESTOQUE
127;07/03/2025;999999990906224;30;1;ENTRADA NO ESTOQUE
003;06/03/2025;999999990906224;30;1;AJUSTE CONTAGEM SAIDA
049;13/03/2025;999999990906224;21;1;ENTRADA NO ESTOQUE
028;18/02/2025;999999990906224;30;1;ENTRADA NO ESTOQUE
109;24/02/2025;999999990906224;13;2;ENTRADA NO ESTOQUE
120;26/02/2025;999999990906224;39;2;ENTRADA NO ESTOQUE
026;14/03/2025;999999990906224;48;2;ENTRADA NO ESTOQUE
118;04/04/2025;999999990906224;24;1;ENTRADA NO ESTOQUE
047;29/01/2025;999999990906224;33;1;AJUSTE CONTAGEM SAIDA
023;24/01/2025;999999990906224;23;1;ENTRADA NO ESTOQUE
023;24/01/2025;999999990906224;23;1;ENTRADA NO ESTOQUE
219;18/02/2025;999999990906224;42;1;ENTRADA NO ESTOQUE
058;13/02/2025;999999990906224;22;1;SA?DA DO ESTOQUE
004;30/01/2025;999999990906224;18;1;AJUSTE CONTAGEM SAIDA
045;04/06/2025;999999990906225;22;1;ENTRADA NO ESTOQUE
065;22/05/2025;999999990906225;68;1;ENTRADA NO ESTOQUE
124;05/06/2025;999999990906225;26;6;ENTRADA NO ESTOQUE
299;06/06/2025;999999990906225;1;1;SA?DA DO ESTOQUE
127;07/03/2025;999999990906225;43;1;SA?DA DO ESTOQUE
064;01/04/2025;999999990906225;67;1;SA?DA DO ESTOQUE
061;28/03/2025;999999990906225;43;1;ENTRADA NO ESTOQUE
028;18/02/2025;999999990906225;40;1;SA?DA DO ESTOQUE
109;24/02/2025;999999990906225;43;2;SA?DA DO ESTOQUE
120;26/02/2025;999999990906225;40;1;SA?DA DO ESTOQUE
120;15/04/2025;999999990906225;24;1;ENTRADA NO ESTOQUE
118;04/04/2025;999999990906225;28;1;SA?DA DO ESTOQUE
061;28/03/2025;999999990906225;42;1;ENTRADA NO ESTOQUE
058;13/02/2025;999999990906225;33;1;ENTRADA NO ESTOQUE
023;24/01/2025;999999990906225;42;1;ENTRADA NO ESTOQUE
023;24/01/2025;999999990906225;42;1;SA?DA DO ESTOQUE
299;02/06/2025;999999990960241;1;1;SA?DA DO ESTOQUE
299;02/06/2025;999999990982852;1;1;SA?DA DO ESTOQUE
